date,location,total_cases,total_deaths,new_cases,new_deaths,total_cases_per_million,total_deaths_per_million,new_cases_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,hospital_beds_per_100k,handwashing_facilities
2020-03-13,Aruba,2,0,2,0,18.733,0.0,18.733,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-03-20,Aruba,4,0,2,0,37.465,0.0,18.733,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-03-24,Aruba,12,0,8,0,112.395,0.0,74.93,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-03-25,Aruba,17,0,5,0,159.227,0.0,46.831,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-03-26,Aruba,19,0,2,0,177.959,0.0,18.733,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-03-27,Aruba,28,0,9,0,262.256,0.0,84.296,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-03-28,Aruba,28,0,0,0,262.256,0.0,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-03-29,Aruba,28,0,0,0,262.256,0.0,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-03-30,Aruba,50,0,22,0,468.314,0.0,206.058,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-01,Aruba,55,0,5,0,515.145,0.0,46.831,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-02,Aruba,55,0,0,0,515.145,0.0,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-03,Aruba,60,0,5,0,561.977,0.0,46.831,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-04,Aruba,62,0,2,0,580.7090000000001,0.0,18.733,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-05,Aruba,64,0,2,0,599.442,0.0,18.733,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-06,Aruba,64,0,0,0,599.442,0.0,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-07,Aruba,71,0,7,0,665.0060000000001,0.0,65.564,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-08,Aruba,74,0,3,0,693.105,0.0,28.099,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-09,Aruba,77,0,3,0,721.203,0.0,28.099,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-10,Aruba,82,0,5,0,768.035,0.0,46.831,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-11,Aruba,86,0,4,0,805.5,0.0,37.465,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-12,Aruba,92,0,6,0,861.698,0.0,56.198,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-13,Aruba,92,0,0,0,861.698,0.0,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-14,Aruba,92,0,0,0,861.698,0.0,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-15,Aruba,92,0,0,0,861.698,0.0,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-16,Aruba,93,1,1,1,871.064,9.366,9.366,9.366,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-17,Aruba,95,1,2,0,889.796,9.366,18.733,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-18,Aruba,96,2,1,1,899.163,18.733,9.366,9.366,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-19,Aruba,96,2,0,0,899.163,18.733,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-20,Aruba,97,2,1,0,908.529,18.733,9.366,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-21,Aruba,97,2,0,0,908.529,18.733,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-22,Aruba,97,2,0,0,908.529,18.733,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-23,Aruba,100,2,3,0,936.628,18.733,28.099,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-24,Aruba,100,2,0,0,936.628,18.733,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-25,Aruba,100,2,0,0,936.628,18.733,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-26,Aruba,100,2,0,0,936.628,18.733,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
2020-04-27,Aruba,100,2,0,0,936.628,18.733,0.0,0.0,,,,,106766.0,584.8,41.2,13.085,7.452000000000001,35973.781,,
